External ID,Price Difference Account/Database ID
__export__.product_category_3291_13f3657c,5869
__export__.product_category_1906_2a260812,5869
__export__.product_category_3413_84b0a738,5869
__import__.pp_pc_73,5869
__import__.pp_pc_71,5869
__import__.pp_pc_72,5869
__export__.product_category_3411_dae24cc6,5869
__export__.product_category_3407_0d02edff,5869
__export__.product_category_3300_b52701e9,5869
__export__.product_category_1_ca1a5e3b,5869
delivery.product_category_deliveries,5869
product.product_category_expenses,5869
__import__.pci_1,5869
__export__.product_category_3396_3e900dcb,5869
__export__.product_category_3387_40ce6479,5869
__export__.product_category_3288_d2018909,5869
__export__.product_category_3289_b52ca8e4,5869
__export__.product_category_3287_f28fc382,5869
__import__.pci_12,5869
__import__.pp_pc_58,5869
__export__.product_category_2872_e3b4cc1e,5869
__import__.pci_16,5869
__export__.product_category_3290_c67410db,5869
__import__.pci_18,5869
__import__.new_pc_1,5869
__import__.pci_6,5869
__import__.pci_7,5869
__import__.pci_8,5869
__export__.product_category_3390_24194726,5869
__import__.pci_10,5869
__import__.pci_11,5869
__import__.pci_14,5869
__import__.pci_17,5869
__export__.product_category_3283_4f9ad5af,5869
__import__.pci_19,5869
__import__.pci_20,5869
__import__.pci_24,5869
__import__.pci_25,5869
__import__.pci_26,5869
__import__.pci_27,5869
__import__.pci_53,5869
__import__.pci_28,5869
__import__.pci_34,5869
__import__.pci_40,5869
__import__.pci_55,5869
__import__.pci_57,5869
__import__.pci_58,5869
__import__.pci_59,5869
__import__.pci_60,5869
__import__.pci_61,5869
__import__.pci_62,5869
__import__.pci_64,5869
__import__.pci_65,5869
__import__.pci_66,5869
__import__.pci_67,5869
__import__.pci_68,5869
__import__.pci_71,5869
__import__.pci_72,5869
__import__.pci_73,5869
__import__.pci_78,5869
__import__.pci_79,5869
__import__.pci_80,5869
__import__.pci_81,5869
__import__.pci_85,5869
__import__.pci_88,5869
__import__.pci_29,5869
__import__.pci_30,5869
__import__.pci_32,5869
__export__.product_category_3397_11679b0f,5869
__export__.product_category_3399_cb1fef6d,5869
__export__.product_category_3395_f57c809b,5869
__export__.product_category_3391_556adfc2,5869
__import__.pci_33,5869
__export__.product_category_3389_43d38a9f,5869
__export__.product_category_3398_07a85175,5869
__import__.pci_37,5869
__import__.pci_38,5869
__import__.pp_pc_62,5869
__export__.product_category_3433_a65cdc81,5869
__export__.product_category_3393_0ab4ede0,5869
__export__.product_category_367_42babad3,5869
__export__.product_category_366_50484782,5869
__export__.product_category_3406_22d07546,5869
__import__.pci_49,5869
__import__.pci_52,5869
__export__.product_category_3388_bb325bf4,5869
__export__.product_category_1896_e773602c,5869
__import__.pp_pc_22,5869
