"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
" ဆီပုံး ","3291","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group","1906","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"001-Accessories","3619","Standard Price","Periodic (at closing)","","","","","","",""
"001-Accessories/Aluminium Coil","3620","Standard Price","Periodic (at closing)","","","","","","",""
"001-Accessories/Heater Coil","3621","Standard Price","Periodic (at closing)","","","","","","",""
"001-Filter","3622","Standard Price","Periodic (at closing)","","","","","","",""
"001-Raw Recycle","3573","Standard Price","Periodic (at closing)","","","","","","",""
"001-Sticker/King","3616","Standard Price","Periodic (at closing)","","","","","","",""
"001-Sticker/SOGO","3617","Standard Price","Periodic (at closing)","","","","","","",""
"001-Sticker/Yamaha","3618","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery","3382","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery-Domino","3423","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery-Filter","3420","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery-Inject Printer","3424","Standard Price","Periodic (at closing)","","","","","","",""
"Accessory For Machinery(Hose)","3626","Standard Price","Periodic (at closing)","","","","","","",""
"Adapter","3300","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"All","1","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"All / Deliveries","680","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"All / Expenses","3","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Ball Valve Accessory","3614","Standard Price","Periodic (at closing)","","","","","","",""
"Ball Valve စွပ်","269","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
