"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
" ဆီပုံး ","3291","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
" မယ်လမင်း Group","1906","Standard Price","Automated","","","","","","",""
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Standard Price","Automated","","","","","","",""
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Standard Price","Automated","","","","","","",""
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Standard Price","Manual","","","","","","",""
"001-Accessories","3619","Standard Price","Manual","","","","","","",""
"001-Accessories/Aluminium Coil","3620","Standard Price","Manual","","","","","","",""
"001-Accessories/Heater Coil","3621","Standard Price","Manual","","","","","","",""
"001-Filter","3622","Standard Price","Manual","","","","","","",""
"001-Raw Recycle","3573","Standard Price","Manual","","","","","","",""
"001-Sticker/King","3616","Standard Price","Manual","","","","","","",""
"001-Sticker/SOGO","3617","Standard Price","Manual","","","","","","",""
"001-Sticker/Yamaha","3618","Standard Price","Manual","","","","","","",""
"Accessories for Machinery","3382","Standard Price","Manual","","","","","","",""
"Accessories for Machinery-Domino","3423","Standard Price","Manual","","","","","","",""
"Accessories for Machinery-Filter","3420","Standard Price","Manual","","","","","","",""
"Accessories for Machinery-Inject Printer","3424","Standard Price","Manual","","","","","","",""
"Accessory For Machinery(Hose)","3626","Standard Price","Manual","","","","","","",""
"Adapter","3300","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"All","1","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"All / Deliveries","680","Standard Price","Automated","","","","","","",""
"All / Expenses","3","Standard Price","Automated","","","","","","",""
"All / Saleable","2","Standard Price","Automated","","","","","","",""
"Ball Valve Accessory","3614","Standard Price","Manual","","","","","","",""
"Ball Valve စွပ်","269","Standard Price","Automated","","","","","","",""
"Ball Valve ရစ်","3396","Standard Price","Manual","","","","","","",""
"Bio Ball","3387","Standard Price","Manual","","","","","","",""
"Black Series (Polishing)","3593","Standard Price","Manual","","","","","","",""
"COVID Face Shield","3288","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"COVID အမှိုက်ပုံး","3289","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
