Company ID,Matched categories,Changed to Periodic,Unchanged Perpetual,Excluded target categories,Target rows verified,Mismatches
1,331,125,206,3,334,0
2,331,331,0,3,334,0
10,331,138,193,3,334,0
11,331,149,182,3,334,0
3,331,331,0,3,334,0
14,331,113,218,3,334,0
9,331,292,39,3,334,0
45,331,327,4,3,334,0
35,331,328,3,3,334,0
47,331,93,238,3,334,0
70,331,331,0,3,334,0
96,331,331,0,3,334,0
97,331,305,26,3,334,0
98,331,326,5,3,334,0
99,331,303,28,3,334,0
100,331,331,0,3,334,0
101,331,292,39,3,334,0
102,331,301,30,3,334,0
103,331,297,34,3,334,0
104,331,294,37,3,334,0
105,331,302,29,3,334,0
106,331,300,31,3,334,0
107,331,287,44,3,334,0
108,331,306,25,3,334,0
109,331,288,43,3,334,0
110,331,303,28,3,334,0
111,331,294,37,3,334,0
112,331,285,46,3,334,0
113,331,331,0,3,334,0
114,331,300,31,3,334,0
115,331,300,31,3,334,0
116,331,303,28,3,334,0
117,331,290,41,3,334,0
118,331,331,0,3,334,0
119,331,245,86,3,334,0
120,331,299,32,3,334,0
121,331,295,36,3,334,0
122,331,331,0,3,334,0
7,331,122,209,3,334,0
6,331,124,207,3,334,0
31,331,116,215,3,334,0
26,331,109,222,3,334,0
46,331,329,2,3,334,0
84,331,331,0,3,334,0
50,331,329,2,3,334,0
86,331,328,3,3,334,0
65,331,331,0,3,334,0
80,331,331,0,3,334,0
49,331,331,0,3,334,0
66,331,331,0,3,334,0
64,331,331,0,3,334,0
56,331,331,0,3,334,0
57,331,331,0,3,334,0
67,331,331,0,3,334,0
59,331,331,0,3,334,0
68,331,331,0,3,334,0
55,331,331,0,3,334,0
58,331,331,0,3,334,0
69,331,331,0,3,334,0
60,331,331,0,3,334,0
62,331,331,0,3,334,0
61,331,331,0,3,334,0
81,331,331,0,3,334,0
83,331,331,0,3,334,0
93,331,331,0,3,334,0
63,331,331,0,3,334,0
82,331,331,0,3,334,0
94,331,331,0,3,334,0
91,331,331,0,3,334,0
48,331,331,0,3,334,0
77,331,331,0,3,334,0
4,331,116,215,3,334,0
18,331,322,9,3,334,0
17,331,328,3,3,334,0
15,331,132,199,3,334,0
16,331,315,16,3,334,0
5,331,129,202,3,334,0
76,331,331,0,3,334,0
71,331,331,0,3,334,0
75,331,331,0,3,334,0
74,331,329,2,3,334,0
90,331,331,0,3,334,0
88,331,331,0,3,334,0
87,331,331,0,3,334,0
51,331,325,6,3,334,0
78,331,331,0,3,334,0
89,331,52,279,3,334,0
52,331,331,0,3,334,0
79,331,331,0,3,334,0
44,331,331,0,3,334,0
73,331,330,1,3,334,0
72,331,95,236,3,334,0
8,331,120,211,3,334,0
36,331,326,5,3,334,0
13,331,72,259,3,334,0
43,331,113,218,3,334,0
28,331,86,245,3,334,0
34,331,327,4,3,334,0
85,331,330,1,3,334,0
37,331,78,253,3,334,0
42,331,111,220,3,334,0
41,331,113,218,3,334,0
29,331,78,253,3,334,0
33,331,78,253,3,334,0
38,331,78,253,3,334,0
95,331,326,5,3,334,0
12,331,78,253,3,334,0
32,331,78,253,3,334,0
54,331,108,223,3,334,0
27,331,85,246,3,334,0
40,331,111,220,3,334,0
39,331,78,253,3,334,0
92,331,73,258,3,334,0
