Company ID,Category ID,Category,Source valuation,Before,After
1,3,All / Expenses,Manual,Perpetual (at invoicing),Periodic (at closing)
1,373,Fitting Group.,Manual,Perpetual (at invoicing),Periodic (at closing)
1,374,SOGO Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing)
1,375,SOGO.,Manual,Perpetual (at invoicing),Periodic (at closing)
1,376,Trunking,Manual,Perpetual (at invoicing),Periodic (at closing)
1,680,All / Deliveries,Manual,Perpetual (at invoicing),Periodic (at closing)
1,682,မီးအားမြှင့်စက်,Manual,Perpetual (at invoicing),Periodic (at closing)
1,1896,Popular Group,Manual,Perpetual (at invoicing),Periodic (at closing)
1,1897,စည်ပင်အမှိုက်ပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
1,1906, မယ်လမင်း Group,Manual,Perpetual (at invoicing),Periodic (at closing)
1,1908,သံစားပွဲ Group,Manual,Perpetual (at invoicing),Periodic (at closing)
1,2871,Popular Group / Mango Box,Manual,Perpetual (at invoicing),Periodic (at closing)
1,2872,Comb,Manual,Perpetual (at invoicing),Periodic (at closing)
1,2873,ရေတိုင်ကီ Group / Mango ရေတိုင်ကီ,Manual,Perpetual (at invoicing),Periodic (at closing)
1,2878,ရေတိုင်ကီ Group,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3279,ရေခဲမုန့်ဇွန်း,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3280,ဂဏန်းခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3284,Smart Aircon,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3285,ကြွေပြား,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3286,ကားကတ်ဆက်,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3287,Calendar Clip,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3288,COVID Face Shield,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3289,COVID အမှိုက်ပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3291, ဆီပုံး ,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3292,ဖော့ဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3298,ဆီပေပါ,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3301,Window Accessory,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3303,YS Design,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3320,Factory Labour,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3321,Factory Label,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3322,Factory Box,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3323,Factory Metal,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3324,Factory Meter,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3325,Factory Diesel,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3326,Factory Other,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3327,Factory Plastic,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3328,Main Plastic,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3329,Main Label,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3330,Main Box,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3331,Main String,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3332,Main Other,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3333,Semi Finished Goods,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3334,Raw Materials,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3377,Raw (Recycle),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3378,Raw (Bajar Pipe),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3379,Finished Goods ,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3380,Packing,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3381,Fuel,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3382,Accessories for Machinery,Manual,Perpetual (at invoicing),Periodic (at closing)
