Company ID,Category ID,External ID,Category,Source valuation,Before,Verified after,Status
1,3291,__export__.product_category_3291_13f3657c, ဆီပုံး ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,1906,__export__.product_category_1906_2a260812, မယ်လမင်း Group,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3413,__export__.product_category_3413_84b0a738, မယ်လမင်း Group / Gold မယ်လမင်း,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,647,__import__.pp_pc_73, မယ်လမင်း Group / Lion မယ်လမင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,645,__import__.pp_pc_71, မယ်လမင်း Group / Mango မယ်လမင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,646,__import__.pp_pc_72, မယ်လမင်း Group / Mango မယ်လမင်းအပါး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3411,__export__.product_category_3411_dae24cc6, မယ်လမင်း Group / Marble မယ်လမင်း,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3407,__export__.product_category_3407_0d02edff, မယ်လမင်း Group / မယ်လမင်း(အမဲ),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3619,__export__.product_category_3619_180f4647,001-Accessories,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3620,__export__.product_category_3620_2955c9c7,001-Accessories/Aluminium Coil,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3621,__export__.product_category_3621_9a276b04,001-Accessories/Heater Coil,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3622,__export__.product_category_3622_5b924345,001-Filter,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3573,__export__.product_category_3573_9fd73ff9,001-Raw Recycle,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3616,__export__.product_category_3616_17a68cba,001-Sticker/King,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3617,__export__.product_category_3617_0abbe59d,001-Sticker/SOGO,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3618,__export__.product_category_3618_efcb78a9,001-Sticker/Yamaha,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3382,__export__.product_category_3382_52e2ccdc,Accessories for Machinery,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3423,__export__.product_category_3423_84ffab75,Accessories for Machinery-Domino,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3420,__export__.product_category_3420_af953f8c,Accessories for Machinery-Filter,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3424,__export__.product_category_3424_b9c29295,Accessories for Machinery-Inject Printer,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3626,__export__.product_category_3626_a218c152,Accessory For Machinery(Hose),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3300,__export__.product_category_3300_b52701e9,Adapter,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,1,__export__.product_category_1_ca1a5e3b,All,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,680,delivery.product_category_deliveries,All / Deliveries,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3,product.product_category_expenses,All / Expenses,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3614,__export__.product_category_3614_cd7323c5,Ball Valve Accessory,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,269,__import__.pci_1,Ball Valve စွပ်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3396,__export__.product_category_3396_3e900dcb,Ball Valve ရစ်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3387,__export__.product_category_3387_40ce6479,Bio Ball,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3593,__export__.product_category_3593_264057ec,Black Series (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3288,__export__.product_category_3288_d2018909,COVID Face Shield,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3289,__export__.product_category_3289_b52ca8e4,COVID အမှိုက်ပုံး,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3287,__export__.product_category_3287_f28fc382,Calendar Clip,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,280,__import__.pci_12,Ceiling,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,633,__import__.pp_pc_58,Clip,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,2872,__export__.product_category_2872_e3b4cc1e,Comb,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3430,__export__.product_category_3430_a4e57b3d,Compound,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3630,__export__.product_category_3630_1620311e,Compound(Hose),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,284,__import__.pci_16,Corner,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
