External ID,Inventory Valuation
__export__.product_category_3294_987ca084,Perpetual (at invoicing)
__export__.product_category_3298_c7174ae8,Perpetual (at invoicing)
__export__.product_category_3299_fab6c343,Perpetual (at invoicing)
__export__.product_category_3300_b52701e9,Perpetual (at invoicing)
__export__.product_category_3301_e4451e8c,Perpetual (at invoicing)
__export__.product_category_3303_bbca3519,Perpetual (at invoicing)
__export__.product_category_3320_92de9749,Perpetual (at invoicing)
__export__.product_category_3321_526e05ba,Perpetual (at invoicing)
__export__.product_category_3322_967f4585,Perpetual (at invoicing)
__export__.product_category_3323_dbadcff3,Perpetual (at invoicing)
__export__.product_category_3324_9c7e6e4c,Perpetual (at invoicing)
__export__.product_category_3325_ffa2bc24,Perpetual (at invoicing)
__export__.product_category_3326_a9641d09,Perpetual (at invoicing)
__export__.product_category_3327_818d4158,Perpetual (at invoicing)
__export__.product_category_3328_0e741a16,Perpetual (at invoicing)
__export__.product_category_3329_955610ef,Perpetual (at invoicing)
__export__.product_category_3330_0f8f8cdd,Perpetual (at invoicing)
__export__.product_category_3331_42d6dd01,Perpetual (at invoicing)
__export__.product_category_3332_c0213c6d,Perpetual (at invoicing)
__export__.product_category_3333_ff0be4c8,Perpetual (at invoicing)
__export__.product_category_3334_30f3c768,Perpetual (at invoicing)
__export__.product_category_3377_68f744bb,Perpetual (at invoicing)
__export__.product_category_3378_58d91117,Perpetual (at invoicing)
__export__.product_category_3379_ea11ca34,Perpetual (at invoicing)
__export__.product_category_3380_cb3af103,Perpetual (at invoicing)
__export__.product_category_3381_ae350eaf,Perpetual (at invoicing)
__export__.product_category_3382_52e2ccdc,Perpetual (at invoicing)
__export__.product_category_3383_c86b62ee,Perpetual (at invoicing)
__export__.product_category_3385_94240163,Perpetual (at invoicing)
__export__.product_category_3387_40ce6479,Perpetual (at invoicing)
__export__.product_category_3388_bb325bf4,Perpetual (at invoicing)
__export__.product_category_3389_43d38a9f,Perpetual (at invoicing)
__export__.product_category_3390_24194726,Perpetual (at invoicing)
__export__.product_category_3391_556adfc2,Perpetual (at invoicing)
__export__.product_category_3392_f14f0b11,Perpetual (at invoicing)
__export__.product_category_3393_0ab4ede0,Perpetual (at invoicing)
__export__.product_category_3395_f57c809b,Perpetual (at invoicing)
__export__.product_category_3396_3e900dcb,Perpetual (at invoicing)
__export__.product_category_3397_11679b0f,Perpetual (at invoicing)
__export__.product_category_3398_07a85175,Perpetual (at invoicing)
__export__.product_category_3399_cb1fef6d,Perpetual (at invoicing)
__export__.product_category_3401_c5e2c6a6,Perpetual (at invoicing)
__export__.product_category_3405_572ea9ac,Perpetual (at invoicing)
__export__.product_category_3407_0d02edff,Perpetual (at invoicing)
__export__.product_category_3410_cda444f5,Perpetual (at invoicing)
__export__.product_category_3411_dae24cc6,Perpetual (at invoicing)
__export__.product_category_3412_9895ff9d,Perpetual (at invoicing)
__export__.product_category_3413_84b0a738,Perpetual (at invoicing)
__export__.product_category_3418_63901857,Perpetual (at invoicing)
__export__.product_category_3420_af953f8c,Perpetual (at invoicing)
__export__.product_category_3421_b9f2d3d8,Perpetual (at invoicing)
__export__.product_category_3422_214ae66d,Perpetual (at invoicing)
__export__.product_category_3423_84ffab75,Perpetual (at invoicing)
__export__.product_category_3424_b9c29295,Perpetual (at invoicing)
__export__.product_category_3425_6e00d62b,Perpetual (at invoicing)
__export__.product_category_3426_aa200459,Perpetual (at invoicing)
__export__.product_category_3427_6a7f9da7,Perpetual (at invoicing)
__export__.product_category_3429_56bfe66b,Perpetual (at invoicing)
__export__.product_category_3430_a4e57b3d,Perpetual (at invoicing)
__export__.product_category_3431_1d95c000,Perpetual (at invoicing)
__export__.product_category_3432_fe241044,Perpetual (at invoicing)
__export__.product_category_3433_a65cdc81,Perpetual (at invoicing)
__export__.product_category_3434_5212ee8b,Perpetual (at invoicing)
