"Display Name","ID","Inventory Valuation"
" ဆီပုံး ","3291","Manual"
" မယ်လမင်း Group","1906","Manual"
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Manual"
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Manual"
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Manual"
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Manual"
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Manual"
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Manual"
"001-Accessories","3619","Manual"
"001-Accessories/Aluminium Coil","3620","Manual"
"001-Accessories/Heater Coil","3621","Manual"
"001-Filter","3622","Manual"
"001-Raw Recycle","3573","Manual"
"001-Sticker/King","3616","Manual"
"001-Sticker/SOGO","3617","Manual"
"001-Sticker/Yamaha","3618","Manual"
"Accessories for Machinery","3382","Manual"
"Accessories for Machinery-Domino","3423","Manual"
"Accessories for Machinery-Filter","3420","Manual"
"Accessories for Machinery-Inject Printer","3424","Manual"
"Accessory For Machinery(Hose)","3626","Manual"
"Adapter","3300","Manual"
"All","1","Manual"
"All / Deliveries","680","Manual"
"All / Expenses","3","Manual"
"All / Saleable","2","Manual"
"Ball Valve Accessory","3614","Manual"
"Ball Valve စွပ်","269","Manual"
"Ball Valve ရစ်","3396","Manual"
"Bio Ball","3387","Manual"
"Black Series (Polishing)","3593","Manual"
"COVID Face Shield","3288","Manual"
"COVID အမှိုက်ပုံး","3289","Manual"
"Calendar Clip","3287","Manual"
"Ceiling","280","Manual"
"Clip","633","Manual"
"Comb","2872","Manual"
"Compound","3430","Manual"
"Compound(Hose)","3630","Manual"
"Corner","284","Manual"
"Cross Tee Ball Valve","3290","Manual"
"Damage Gold Lex Window Profile","3603","Manual"
"Damage Mango Window Profile","3602","Manual"
"Damage PVC E-Pipe","3600","Manual"
"Damage SOGO Window Profile","3601","Manual"
"Damage Trunking","3432","Manual"
"Design Paper- Gold Series","3591","Manual"
"Design Paper-Lion","3597","Manual"
"Design Paper-Melamine","3592","Manual"
"Design Paper-Urea","3595","Manual"
"Door Lock","286","Manual"
"Dye Powder","3632","Manual"
"FG-Damage","3604","Manual"
"Factory Box","3322","Manual"
"Factory Diesel","3325","Manual"
"Factory Label","3321","Manual"
"Factory Labour","3320","Manual"
"Factory Metal","3323","Manual"
"Factory Meter","3324","Manual"
"Factory Other","3326","Manual"
"Factory Plastic","3327","Manual"
"File Clip Frame","3589","Manual"
"Finished Goods ","3379","Manual"
"Fitting Group.","373","Manual"
"Fitting Group. / Brass Faucet Elbow","274","Manual"
"Fitting Group. / Brass Faucet Socket","275","Manual"
"Fitting Group. / Brass Faucet Tee","276","Manual"
"Fitting Group. / Bushing","3390","Manual"
"Fitting Group. / Cap","278","Manual"
"Fitting Group. / Cap DL","279","Manual"
"Fitting Group. / Clean Out Plug","282","Manual"
"Fitting Group. / Cross TY DL","285","Manual"
"Fitting Group. / Cross Tee","3283","Manual"
"Fitting Group. / ELBOW","287","Manual"
"Fitting Group. / Elbow (DL)","288","Manual"
"Fitting Group. / Faucet Elbow","292","Manual"
"Fitting Group. / Faucet Reducing Elbow","293","Manual"
"Fitting Group. / Faucet Socket","294","Manual"
"Fitting Group. / Faucet Tee","295","Manual"
"Fitting Group. / Fitting Clip","321","Manual"
"Fitting Group. / Fitting Socket","296","Manual"
"Fitting Group. / Head","302","Manual"
"Fitting Group. / Nipple","308","Manual"
"Fitting Group. / Reducing Elbow","323","Manual"
"Fitting Group. / Reducing Socket","325","Manual"
"Fitting Group. / Reducing Socket(DL)","326","Manual"
"Fitting Group. / Reducing TY DL","327","Manual"
"Fitting Group. / Reducing Tee","328","Manual"
"Fitting Group. / Reducing Tee (DL)","329","Manual"
"Fitting Group. / Reducing Y DL","330","Manual"
"Fitting Group. / Saddle","332","Manual"
"Fitting Group. / Saddle (New)","333","Manual"
"Fitting Group. / Socket DL","334","Manual"
"Fitting Group. / Socket Push In","335","Manual"
"Fitting Group. / Socket Union","336","Manual"
"Fitting Group. / TY (DL)","339","Manual"
"Fitting Group. / Tee","340","Manual"
"Fitting Group. / Tee DL","341","Manual"
"Fitting Group. / Valve Elbow","346","Manual"
"Fitting Group. / Valve Plug","347","Manual"
"Fitting Group. / Valve Socket","348","Manual"
"Fitting Group. / Valve Socket Pushin","349","Manual"
"Fitting Group. / Way Tee","353","Manual"
"Fitting Group. / Y DL","356","Manual"
"Flange","297","Manual"
"Floor Drain","298","Manual"
"Foot Valve","300","Manual"
"Fuel","3381","Manual"
"G20 Pipe","3397","Manual"
"GOLDTAX အိမ်သုတ်ဆေး","3399","Manual"
"Gold Lex Window Profile","3395","Manual"
"Gold Series (Polishing)","3598","Manual"
"Gold Tax Pipe","3391","Manual"
"Gutter Fitting","301","Manual"
"HD (Blow) ရေတိုင်ကီ","3389","Manual"
"Heater Coil for Mould","3418","Manual"
"JADE အိမ်သုတ်ဆေး","3398","Manual"
"Junnet","305","Manual"
"KGO Design","3434","Manual"
"Kaw Bu","306","Manual"
"King သံစားပွဲ","637","Manual"
"Lion Ware (Polishing)","3596","Manual"
"Main Box","3330","Manual"
"Main Label","3329","Manual"
"Main Other","3332","Manual"
"Main Plastic","3328","Manual"
"Main String","3331","Manual"
"Mango Clip","3433","Manual"
"Mango Gutter","3393","Manual"
"Mango Hose","367","Manual"
"Mango Pipe","366","Manual"
"Mango Ware (Polishing)","3590","Manual"
"Mango Window Profile","3405","Manual"
"Marble Series (Polishing)","3594","Manual"
"Marble ရေတိုင်ကီ","3406","Manual"
"Oil","3422","Manual"
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","Manual"
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","Manual"
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","Manual"
"PVC Door","317","Manual"
"Packing","3380","Manual"
"Packing for Window Profile","3426","Manual"
"Packing(Hose)","3627","Manual"
"Packing-Plastic","3421","Manual"
"Packing-Sticker","3425","Manual"
"Pallet","3582","Manual"
"Panel Box","320","Manual"
"Pipe (အရောင်ဖျော့)","3410","Manual"
"Pipe(ပေတို)","3388","Manual"
"Popular Group","1896","Manual"
"Popular Group / BOX","599","Manual"
"Popular Group / Brush","587","Manual"
"Popular Group / King  အုပ်ဆောင်း","616","Manual"
"Popular Group / King ခုံ","615","Manual"
"Popular Group / King ချိတ်","614","Manual"
"Popular Group / King ခြင်း","613","Manual"
"Popular Group / King ဇကာ","617","Manual"
"Popular Group / King ဇလုံ","612","Manual"
"Popular Group / King ထွေးခံ","622","Manual"
"Popular Group / King ဖလား","611","Manual"
"Popular Group / King ဘူး","619","Manual"
"Popular Group / King ရေခွက်","620","Manual"
"Popular Group / King ရေပုံး","618","Manual"
"Popular Group / King ဦးထုပ်","621","Manual"
"Popular Group / MOANA  Brush","3583","Manual"
"Popular Group / MOANA  ‌‌‌ဂေါ်ပြား","3631","Manual"
"Popular Group / MOANA Box","3412","Manual"
"Popular Group / MOANA ချိတ်","3633","Manual"
"Popular Group / MOANA ခြင်း","3634","Manual"
"Popular Group / MOANA ဇကာ","3613","Manual"
"Popular Group / MOANA ဇလုံ","3635","Manual"
"Popular Group / MOANA ထွေးခံ","3637","Manual"
"Popular Group / MOANA ရေပုံး","3636","Manual"
"Popular Group / Mango  Brush","623","Manual"
"Popular Group / Mango Box","2871","Manual"
"Popular Group / Mango ဇလုံ","626","Manual"
"Popular Group / Mango တံမျက်စည်း","624","Manual"
"Popular Group / Mango ဖလား","625","Manual"
"Popular Group / ORDER","648","Manual"
"Popular Group / Summit Box","672","Manual"
"Popular Group / Summit Foot Mass","678","Manual"
"Popular Group / Summit ကတော့","662","Manual"
"Popular Group / Summit ခုံ","676","Manual"
"Popular Group / Summit ချိတ်","663","Manual"
"Popular Group / Summit ခြင်း","653","Manual"
"Popular Group / Summit ခွက်","667","Manual"
"Popular Group / Summit ဂေါ် ပြား","658","Manual"
"Popular Group / Summit ဂျိုင့်","666","Manual"
"Popular Group / Summit စင်","655","Manual"
"Popular Group / Summit စဉ့်နီတုံး","661","Manual"
"Popular Group / Summit စားပွဲ","677","Manual"
"Popular Group / Summit ဆပ်ပြာခွက်","673","Manual"
"Popular Group / Summit ဆီးအိုး","657","Manual"
"Popular Group / Summit ဇကာ","652","Manual"
