"Display Name","ID","Inventory Valuation"
" ဆီပုံး ","3291","Perpetual (at invoicing)"
" မယ်လမင်း Group","1906","Perpetual (at invoicing)"
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Perpetual (at invoicing)"
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Perpetual (at invoicing)"
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Perpetual (at invoicing)"
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Perpetual (at invoicing)"
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Perpetual (at invoicing)"
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Perpetual (at invoicing)"
"001-Accessories","3619","Perpetual (at invoicing)"
"001-Accessories/Aluminium Coil","3620","Perpetual (at invoicing)"
"001-Accessories/Heater Coil","3621","Perpetual (at invoicing)"
"001-Filter","3622","Perpetual (at invoicing)"
"001-Raw Recycle","3573","Perpetual (at invoicing)"
"001-Sticker/King","3616","Perpetual (at invoicing)"
"001-Sticker/SOGO","3617","Perpetual (at invoicing)"
"001-Sticker/Yamaha","3618","Perpetual (at invoicing)"
"Accessories for Machinery","3382","Perpetual (at invoicing)"
"Accessories for Machinery-Domino","3423","Perpetual (at invoicing)"
"Accessories for Machinery-Filter","3420","Perpetual (at invoicing)"
"Accessories for Machinery-Inject Printer","3424","Perpetual (at invoicing)"
"Accessory For Machinery(Hose)","3626","Perpetual (at invoicing)"
"Adapter","3300","Perpetual (at invoicing)"
"All","1","Perpetual (at invoicing)"
"All / Deliveries","680","Perpetual (at invoicing)"
"All / Expenses","3","Perpetual (at invoicing)"
"Ball Valve Accessory","3614","Perpetual (at invoicing)"
"Ball Valve စွပ်","269","Perpetual (at invoicing)"
"Ball Valve ရစ်","3396","Perpetual (at invoicing)"
"Bio Ball","3387","Perpetual (at invoicing)"
"Black Series (Polishing)","3593","Perpetual (at invoicing)"
"COVID Face Shield","3288","Perpetual (at invoicing)"
"COVID အမှိုက်ပုံး","3289","Perpetual (at invoicing)"
"Calendar Clip","3287","Perpetual (at invoicing)"
"Ceiling","280","Perpetual (at invoicing)"
"Clip","633","Perpetual (at invoicing)"
"Comb","2872","Perpetual (at invoicing)"
"Compound","3430","Perpetual (at invoicing)"
"Compound(Hose)","3630","Perpetual (at invoicing)"
"Corner","284","Perpetual (at invoicing)"
"Cross Tee Ball Valve","3290","Perpetual (at invoicing)"
"Damage Gold Lex Window Profile","3603","Perpetual (at invoicing)"
"Damage Mango Window Profile","3602","Perpetual (at invoicing)"
"Damage PVC E-Pipe","3600","Perpetual (at invoicing)"
"Damage SOGO Window Profile","3601","Perpetual (at invoicing)"
"Damage Trunking","3432","Perpetual (at invoicing)"
"Design Paper- Gold Series","3591","Perpetual (at invoicing)"
"Design Paper-Lion","3597","Perpetual (at invoicing)"
"Design Paper-Melamine","3592","Perpetual (at invoicing)"
"Design Paper-Urea","3595","Perpetual (at invoicing)"
"Door Lock","286","Perpetual (at invoicing)"
"Dye Powder","3632","Perpetual (at invoicing)"
"FG-Damage","3604","Perpetual (at invoicing)"
"Factory Box","3322","Perpetual (at invoicing)"
"Factory Diesel","3325","Perpetual (at invoicing)"
"Factory Label","3321","Perpetual (at invoicing)"
"Factory Labour","3320","Perpetual (at invoicing)"
"Factory Metal","3323","Perpetual (at invoicing)"
"Factory Meter","3324","Perpetual (at invoicing)"
"Factory Other","3326","Perpetual (at invoicing)"
"Factory Plastic","3327","Perpetual (at invoicing)"
"File Clip Frame","3589","Perpetual (at invoicing)"
"Finished Goods ","3379","Perpetual (at invoicing)"
"Fitting Group.","373","Perpetual (at invoicing)"
"Fitting Group. / Brass Faucet Elbow","274","Perpetual (at invoicing)"
"Fitting Group. / Brass Faucet Socket","275","Perpetual (at invoicing)"
"Fitting Group. / Brass Faucet Tee","276","Perpetual (at invoicing)"
"Fitting Group. / Bushing","3390","Perpetual (at invoicing)"
"Fitting Group. / Cap","278","Perpetual (at invoicing)"
"Fitting Group. / Cap DL","279","Perpetual (at invoicing)"
"Fitting Group. / Clean Out Plug","282","Perpetual (at invoicing)"
"Fitting Group. / Cross TY DL","285","Perpetual (at invoicing)"
"Fitting Group. / Cross Tee","3283","Perpetual (at invoicing)"
"Fitting Group. / ELBOW","287","Perpetual (at invoicing)"
"Fitting Group. / Elbow (DL)","288","Perpetual (at invoicing)"
"Fitting Group. / Faucet Elbow","292","Perpetual (at invoicing)"
"Fitting Group. / Faucet Reducing Elbow","293","Perpetual (at invoicing)"
"Fitting Group. / Faucet Socket","294","Perpetual (at invoicing)"
"Fitting Group. / Faucet Tee","295","Perpetual (at invoicing)"
"Fitting Group. / Fitting Clip","321","Perpetual (at invoicing)"
"Fitting Group. / Fitting Socket","296","Perpetual (at invoicing)"
"Fitting Group. / Head","302","Perpetual (at invoicing)"
"Fitting Group. / Nipple","308","Perpetual (at invoicing)"
"Fitting Group. / Reducing Elbow","323","Perpetual (at invoicing)"
"Fitting Group. / Reducing Socket","325","Perpetual (at invoicing)"
"Fitting Group. / Reducing Socket(DL)","326","Perpetual (at invoicing)"
"Fitting Group. / Reducing TY DL","327","Perpetual (at invoicing)"
"Fitting Group. / Reducing Tee","328","Perpetual (at invoicing)"
"Fitting Group. / Reducing Tee (DL)","329","Perpetual (at invoicing)"
"Fitting Group. / Reducing Y DL","330","Perpetual (at invoicing)"
"Fitting Group. / Saddle","332","Perpetual (at invoicing)"
"Fitting Group. / Saddle (New)","333","Perpetual (at invoicing)"
"Fitting Group. / Socket DL","334","Perpetual (at invoicing)"
"Fitting Group. / Socket Push In","335","Perpetual (at invoicing)"
"Fitting Group. / Socket Union","336","Perpetual (at invoicing)"
"Fitting Group. / TY (DL)","339","Perpetual (at invoicing)"
"Fitting Group. / Tee","340","Perpetual (at invoicing)"
"Fitting Group. / Tee DL","341","Perpetual (at invoicing)"
"Fitting Group. / Valve Elbow","346","Perpetual (at invoicing)"
"Fitting Group. / Valve Plug","347","Perpetual (at invoicing)"
"Fitting Group. / Valve Socket","348","Perpetual (at invoicing)"
"Fitting Group. / Valve Socket Pushin","349","Perpetual (at invoicing)"
"Fitting Group. / Way Tee","353","Perpetual (at invoicing)"
"Fitting Group. / Y DL","356","Perpetual (at invoicing)"
"Flange","297","Perpetual (at invoicing)"
"Floor Drain","298","Perpetual (at invoicing)"
"Foot Valve","300","Perpetual (at invoicing)"
"Fuel","3381","Perpetual (at invoicing)"
"G20 Pipe","3397","Perpetual (at invoicing)"
"GOLDTAX အိမ်သုတ်ဆေး","3399","Perpetual (at invoicing)"
"Gold Lex Window Profile","3395","Perpetual (at invoicing)"
"Gold Series (Polishing)","3598","Perpetual (at invoicing)"
"Gold Tax Pipe","3391","Perpetual (at invoicing)"
"Goods","3639","Perpetual (at invoicing)"
"Gutter Fitting","301","Perpetual (at invoicing)"
"HD (Blow) ရေတိုင်ကီ","3389","Perpetual (at invoicing)"
"Heater Coil for Mould","3418","Perpetual (at invoicing)"
"JADE အိမ်သုတ်ဆေး","3398","Perpetual (at invoicing)"
"Junnet","305","Perpetual (at invoicing)"
"KGO Design","3434","Perpetual (at invoicing)"
"Kaw Bu","306","Perpetual (at invoicing)"
"King သံစားပွဲ","637","Perpetual (at invoicing)"
"Lion Ware (Polishing)","3596","Perpetual (at invoicing)"
"MOANA ကြက်စာခွက်","3638","Perpetual (at invoicing)"
"Main Box","3330","Perpetual (at invoicing)"
"Main Label","3329","Perpetual (at invoicing)"
"Main Other","3332","Perpetual (at invoicing)"
"Main Plastic","3328","Perpetual (at invoicing)"
"Main String","3331","Perpetual (at invoicing)"
"Mango Clip","3433","Perpetual (at invoicing)"
"Mango Gutter","3393","Perpetual (at invoicing)"
"Mango Hose","367","Perpetual (at invoicing)"
"Mango Pipe","366","Perpetual (at invoicing)"
"Mango Ware (Polishing)","3590","Perpetual (at invoicing)"
"Mango Window Profile","3405","Perpetual (at invoicing)"
"Marble Series (Polishing)","3594","Perpetual (at invoicing)"
"Marble ရေတိုင်ကီ","3406","Perpetual (at invoicing)"
"Oil","3422","Perpetual (at invoicing)"
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","Perpetual (at invoicing)"
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","Perpetual (at invoicing)"
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","Perpetual (at invoicing)"
"PVC Door","317","Perpetual (at invoicing)"
"Packing","3380","Perpetual (at invoicing)"
"Packing for Window Profile","3426","Perpetual (at invoicing)"
"Packing(Hose)","3627","Perpetual (at invoicing)"
"Packing-Plastic","3421","Perpetual (at invoicing)"
"Packing-Sticker","3425","Perpetual (at invoicing)"
"Pallet","3582","Perpetual (at invoicing)"
"Panel Box","320","Perpetual (at invoicing)"
"Pipe (အရောင်ဖျော့)","3410","Perpetual (at invoicing)"
"Pipe(ပေတို)","3388","Perpetual (at invoicing)"
"Popular Group","1896","Perpetual (at invoicing)"
"Popular Group / BOX","599","Perpetual (at invoicing)"
"Popular Group / Brush","587","Perpetual (at invoicing)"
"Popular Group / King  အုပ်ဆောင်း","616","Perpetual (at invoicing)"
"Popular Group / King ခုံ","615","Perpetual (at invoicing)"
"Popular Group / King ချိတ်","614","Perpetual (at invoicing)"
"Popular Group / King ခြင်း","613","Perpetual (at invoicing)"
"Popular Group / King ဇကာ","617","Perpetual (at invoicing)"
"Popular Group / King ဇလုံ","612","Perpetual (at invoicing)"
"Popular Group / King ထွေးခံ","622","Perpetual (at invoicing)"
"Popular Group / King ဖလား","611","Perpetual (at invoicing)"
"Popular Group / King ဘူး","619","Perpetual (at invoicing)"
"Popular Group / King ရေခွက်","620","Perpetual (at invoicing)"
"Popular Group / King ရေပုံး","618","Perpetual (at invoicing)"
"Popular Group / King ဦးထုပ်","621","Perpetual (at invoicing)"
"Popular Group / MOANA  Brush","3583","Perpetual (at invoicing)"
"Popular Group / MOANA  ‌‌‌ဂေါ်ပြား","3631","Perpetual (at invoicing)"
"Popular Group / MOANA Box","3412","Perpetual (at invoicing)"
"Popular Group / MOANA ချိတ်","3633","Perpetual (at invoicing)"
"Popular Group / MOANA ခြင်း","3634","Perpetual (at invoicing)"
"Popular Group / MOANA ဇကာ","3613","Perpetual (at invoicing)"
"Popular Group / MOANA ဇလုံ","3635","Perpetual (at invoicing)"
"Popular Group / MOANA ထွေးခံ","3637","Perpetual (at invoicing)"
"Popular Group / MOANA ရေပုံး","3636","Perpetual (at invoicing)"
"Popular Group / Mango  Brush","623","Perpetual (at invoicing)"
"Popular Group / Mango Box","2871","Perpetual (at invoicing)"
"Popular Group / Mango ဇလုံ","626","Perpetual (at invoicing)"
"Popular Group / Mango တံမျက်စည်း","624","Perpetual (at invoicing)"
"Popular Group / Mango ဖလား","625","Perpetual (at invoicing)"
"Popular Group / ORDER","648","Perpetual (at invoicing)"
"Popular Group / Summit Box","672","Perpetual (at invoicing)"
"Popular Group / Summit Foot Mass","678","Perpetual (at invoicing)"
"Popular Group / Summit ကတော့","662","Perpetual (at invoicing)"
"Popular Group / Summit ခုံ","676","Perpetual (at invoicing)"
"Popular Group / Summit ချိတ်","663","Perpetual (at invoicing)"
"Popular Group / Summit ခြင်း","653","Perpetual (at invoicing)"
"Popular Group / Summit ခွက်","667","Perpetual (at invoicing)"
"Popular Group / Summit ဂေါ် ပြား","658","Perpetual (at invoicing)"
"Popular Group / Summit ဂျိုင့်","666","Perpetual (at invoicing)"
"Popular Group / Summit စင်","655","Perpetual (at invoicing)"
"Popular Group / Summit စဉ့်နီတုံး","661","Perpetual (at invoicing)"
"Popular Group / Summit စားပွဲ","677","Perpetual (at invoicing)"
"Popular Group / Summit ဆပ်ပြာခွက်","673","Perpetual (at invoicing)"
"Popular Group / Summit ဆီးအိုး","657","Perpetual (at invoicing)"
"Popular Group / Summit ဇကာ","652","Perpetual (at invoicing)"
"Popular Group / Summit ဇလုံ","651","Perpetual (at invoicing)"
"Popular Group / Summit ပန်းအိုး","669","Perpetual (at invoicing)"
"Popular Group / Summit ပုဂံ","671","Perpetual (at invoicing)"
"Popular Group / Summit ဖလား","670","Perpetual (at invoicing)"
"Popular Group / Summit ဘူး","660","Perpetual (at invoicing)"
"Popular Group / Summit မုန့်စင်","654","Perpetual (at invoicing)"
"Popular Group / Summit မှန်","659","Perpetual (at invoicing)"
