"Display Name","ID","External ID"
" ဆီပုံး ","3291","__export__.product_category_3291_13f3657c"
" မယ်လမင်း Group","1906","__export__.product_category_1906_2a260812"
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","__export__.product_category_3413_84b0a738"
" မယ်လမင်း Group / Lion မယ်လမင်း","647","__import__.pp_pc_73"
" မယ်လမင်း Group / Mango မယ်လမင်း","645","__import__.pp_pc_71"
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","__import__.pp_pc_72"
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","__export__.product_category_3411_dae24cc6"
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","__export__.product_category_3407_0d02edff"
"001-Accessories","3619","__export__.product_category_3619_180f4647"
"001-Accessories/Aluminium Coil","3620","__export__.product_category_3620_2955c9c7"
"001-Accessories/Heater Coil","3621","__export__.product_category_3621_9a276b04"
"001-Filter","3622","__export__.product_category_3622_5b924345"
"001-Raw Recycle","3573","__export__.product_category_3573_9fd73ff9"
"001-Sticker/King","3616","__export__.product_category_3616_17a68cba"
"001-Sticker/SOGO","3617","__export__.product_category_3617_0abbe59d"
"001-Sticker/Yamaha","3618","__export__.product_category_3618_efcb78a9"
"Accessories for Machinery","3382","__export__.product_category_3382_52e2ccdc"
"Accessories for Machinery-Domino","3423","__export__.product_category_3423_84ffab75"
"Accessories for Machinery-Filter","3420","__export__.product_category_3420_af953f8c"
"Accessories for Machinery-Inject Printer","3424","__export__.product_category_3424_b9c29295"
"Accessory For Machinery(Hose)","3626","__export__.product_category_3626_a218c152"
"Adapter","3300","__export__.product_category_3300_b52701e9"
"All","1","__export__.product_category_1_ca1a5e3b"
"All / Deliveries","680","delivery.product_category_deliveries"
"All / Expenses","3","product.product_category_expenses"
"Ball Valve Accessory","3614","__export__.product_category_3614_cd7323c5"
"Ball Valve စွပ်","269","__import__.pci_1"
"Ball Valve ရစ်","3396","__export__.product_category_3396_3e900dcb"
"Bio Ball","3387","__export__.product_category_3387_40ce6479"
"Black Series (Polishing)","3593","__export__.product_category_3593_264057ec"
"COVID Face Shield","3288","__export__.product_category_3288_d2018909"
"COVID အမှိုက်ပုံး","3289","__export__.product_category_3289_b52ca8e4"
"Calendar Clip","3287","__export__.product_category_3287_f28fc382"
"Ceiling","280","__import__.pci_12"
"Clip","633","__import__.pp_pc_58"
"Comb","2872","__export__.product_category_2872_e3b4cc1e"
"Compound","3430","__export__.product_category_3430_a4e57b3d"
"Compound(Hose)","3630","__export__.product_category_3630_1620311e"
"Corner","284","__import__.pci_16"
"Cross Tee Ball Valve","3290","__export__.product_category_3290_c67410db"
"Damage Gold Lex Window Profile","3603","__export__.product_category_3603_0b740203"
"Damage Mango Window Profile","3602","__export__.product_category_3602_0585878c"
"Damage PVC E-Pipe","3600","__export__.product_category_3600_816da8ed"
"Damage SOGO Window Profile","3601","__export__.product_category_3601_7ed1665a"
"Damage Trunking","3432","__export__.product_category_3432_fe241044"
"Design Paper- Gold Series","3591","__export__.product_category_3591_e70a5155"
"Design Paper-Lion","3597","__export__.product_category_3597_7e926548"
"Design Paper-Melamine","3592","__export__.product_category_3592_fead2594"
"Design Paper-Urea","3595","__export__.product_category_3595_4f5df176"
"Door Lock","286","__import__.pci_18"
"Dye Powder","3632","__export__.product_category_3632_b8feb439"
"FG-Damage","3604","__export__.product_category_3604_fdd27f12"
"Factory Box","3322","__export__.product_category_3322_967f4585"
